UF__SINISA,UF__IBGE,n
MG,Minas Gerais,821
SP,São Paulo,626
RS,Rio Grande do Sul,468
BA,Bahia,404
PR,Paraná,397
SC,Santa Catarina,292
GO,Goiás,240
PB,Paraíba,209
CE,Ceará,183
PI,Piauí,181
MA,Maranhão,179
PE,Pernambuco,177
RN,Rio Grande do Norte,161
MT,Mato Grosso,122
PA,Pará,116
AL,Alagoas,99
RJ,Rio de Janeiro,92
TO,Tocantins,90
ES,Espírito Santo,77
MS,Mato Grosso do Sul,77
SE,Sergipe,75
AM,Amazonas,51
RO,Rondônia,51
AC,Acre,22
AP,Amapá,16
RR,Roraima,15
DF,Distrito Federal,1
