cod_IBGE,IAG0001,IAG0002,IAG0003,IAG2001,IAG2002,IAG2003,IAG2010,IAG2011,IAG2012,IAG2013,IAG2016,IAG2023,IAG3001,IAG3002,IAG3003,IAG3006
1100023,84.69536945208421,100,0,29.840115377166377,38.0736685276131,100,79.92294399807454,78.37486673147545,21.625133268524554,20.077056001925456,78.42832738002795,0.7867308737338314,563.5,NA,1.105726872246696,93.5506241331484
1100031,42.653589933382676,100,0,48.4539368823717,97.2627088517597,0,49.81758934580102,58.0242978075302,41.975702192469804,50.18241065419898,0,0.5782240640385365,947,947,0.7894736842105263,100
1100049,78.80566063534023,100,0,62.62721893491124,91.05330713457377,94.37869822485207,74.46130177514793,68.78082840236685,31.21917159763314,25.538698224852073,99.05516144814091,0.6397633136094675,1076.923076923077,NA,1,94.9632738719832
1100056,67.80284147557329,80.07801000883133,0,53.25837592277115,90.01631634513868,0,59.16524701873935,71.66609880749574,28.333901192504264,40.83475298126064,0,0.5296649630891539,4045,NA,1.7901234567901234,100
1100064,73.46061448982172,100,0,39.99829234972678,92.61275272161743,0,43.188752276867035,50.790072859744996,49.20992714025501,56.811247723132965,0,0.7089594717668488,5411,NA,0.5081867798665858,91.54929577464789
1100072,29.48768602660345,100,0,45.219638242894064,88.20564516129032,0,51.26614987080104,60.70628768303188,39.293712316968126,48.73385012919896,0,0.5707149009474591,NA,NA,2.2222222222222223,100
1100080,24.425625343056538,44.56366237482117,0,35.61848958333333,99.87221613727637,0,35.6640625,41.25868055555556,58.74131944444444,64.3359375,0,0.3823784722222222,NA,NA,1.5,100
1100098,55.41418425392979,76.15539811382725,2.763220581229157,78.25466200466201,99.78327099794417,0,78.42463092463093,92.47183372183373,7.528166278166267,21.575369075369064,0,0.9361013986013986,5880,NA,1.49645390070922,100
1100106,45.29022851253174,52.764641146902235,4.481974667099708,44.70844315775828,99.70128759500379,0,44.84239294819168,52.65793112388195,47.342068876118056,55.15760705180832,0,0.5765998358034826,5473,NA,1.499558693733451,100
1100114,55.01017692187256,81.46301878043126,0,45.58142701525055,81.55152952258756,0,55.89279230210603,70.58596586782862,29.41403413217138,44.10720769789396,0,0.6140749818445898,10567,5000,0.5023255813953489,100
1100122,68.80867633358018,75.58068486721511,8.383375474083438,47.44975799663299,92.23748183689209,0,51.44303275813692,61.60487250982042,38.39512749017958,48.55696724186308,0,0.5319415947671157,NA,NA,0.8331827762722072,82.41324921135646
1100130,44.712065518797964,86.07697082557418,0,47.79355451398462,92.88255168410555,0,51.455901724718935,60.957938914928164,39.042061085071836,48.54409827528107,0,0.599523634469871,4935,2467,90,100
1100148,40.10610749699994,95.11683642899939,0,51.86396418801292,85.80333264760337,0,65.3618502859985,54.48893310121859,45.51106689878141,34.6381497140015,0,0.1616513305147973,NA,NA,0.3,100
1100155,65.96405967450272,87.99817462731974,2.2647317502198767,63.95497311827958,97.4319159101768,0,65.64068100358423,78.92193100358423,21.078068996415766,34.35931899641577,0,0.7559755824372759,8945,NA,1.5,100
1100189,86.9746831870396,100,0,73.39085251038506,90.18311718705154,100,84.08172945623895,81.13905219128658,18.860947808713412,15.918270543761048,0,0.6522114099265498,12046,NA,0.16326530612244897,96.19565217391305
1100205,35.02105077558884,36.77876849137718,16.849111344076846,24.410010665625144,51.813189183511554,0,61.44005379645887,38.061789934018044,61.938210065981956,38.55994620354114,0,0.8416243031335023,54466,27233,3,24.517906336088156
1100254,61.91012963057847,98.98564428780195,7.204464738711314,54.769044612794616,98.55006153166514,0,55.574845679012356,64.24487934904602,35.755120650953984,44.42515432098765,0,0.3826195987654321,4548,NA,1.499317871759891,100
1100262,18.083285795778664,56.35555555555556,0,65.91435185185185,99.04347826086956,0,66.55092592592592,77.68132716049382,22.31867283950617,33.44907407407408,0,0.9531249999999999,230,NA,0.75,100
1100288,81.79727950855639,100,0,68.15115963360437,99.87748691099476,100,69.49132358755247,75.96445600346772,24.035543996532287,30.50867641244753,90.38220079353121,0.5084858790970624,NA,NA,0.3611111111111111,92.67241379310344
1100296,45.74212493326215,89.82961992136303,0,44.34606481481481,99.88920028677572,0,44.395254629629626,55.22280092592592,44.77719907407408,55.60474537037037,0,0.4964988425925926,1279,NA,0.6081081081081081,100
1100304,95.03346830840427,98.75091283638702,27.64275834815254,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.8410428931875525,94.12166780587833
1100320,24.24602992998032,62.48378346503125,0,45.62692901234568,90.01750646978232,0,50.68672839506173,58.54938271604938,41.45061728395062,49.31327160493827,0,0.5740547839506173,NA,NA,1.4980988593155893,NA
1100338,13.890510096883391,23.966165413533837,0,41.82495344506518,99.42452412571934,0,42.06703910614525,48.76163873370577,51.23836126629423,57.93296089385475,0,0.5359404096834265,1190,NA,1.5,100
1100346,56.20989052472631,98.9185291997116,9.270998415213946,0,0,0,88.01020408163265,14.17233560090703,85.82766439909297,11.98979591836735,65.28183247249045,666.4469954648525,1166.6666666666667,1166.6666666666667,1.639344262295082,100
1100379,29.578193737600277,100,1.460470730235365,93.98496240601504,100,75.18796992481202,94.17293233082707,100,0,5.827067669172932,74.91675915649279,0.5639097744360902,450,NA,3.2,100
1100403,11.436024995449857,23.89100126742712,0,42.53472222222222,93.45200254291164,0,45.51504629629629,52.76813271604938,47.23186728395062,54.48495370370371,0,0.15417631172839505,666,650,0.5,100
1100452,54.28045846894014,96.99728174979455,0,83.65915504478345,97.77729977772998,100,88.74892642427713,100,0,11.251073575722872,0,9.322727086826715,NA,NA,0.738255033557047,96.35584137191854
1100502,22.9268922758977,100,7.229477611940298,64.58912037037037,98.36946941653447,0,65.65972222222221,79.24189814814815,20.758101851851855,34.340277777777786,0,0.6336226851851852,1042,1042,0.3064516129032258,100
1100601,19.451073985680193,53.93778954334878,0,67.51571286801192,95.82159624413146,0,70.45980813761165,83.1293417135296,16.870658286470398,29.540191862388355,0,0.269599735362223,291,291,0.5333333333333333,100
1100700,26.618141097424413,100,0,73.88888888888889,94.32624113475178,0,83.88888888888889,0,100,16.11111111111111,100,11.375555555555556,NA,NA,2,100
1100809,51.66629687153317,79.29578424027788,0,53.12849552572707,91.13567316917174,0,58.29604772557793,72.47040454884414,27.529595451155853,41.70395227442207,0,0.8036097129008203,3881,NA,0.749003984063745,100
1100908,23.392529087568892,100,0,57.52314814814815,88.2546930492136,0,65.17857142857143,78.48875661375662,21.511243386243383,34.82142857142856,0,0.7627314814814815,307,NA,0.8888888888888888,80
1100924,64.19622000424718,100,35.91790193842645,0,0,0,18.5,18,82,81.5,96.5967550455085,1864.932,53.84615384615385,NA,1.935483870967742,100
1100940,13.456798347878223,19.319051262433053,0,58.635265700483096,94.01461138984246,0,62.368247694334656,71.1627140974967,28.837285902503297,37.63175230566535,0,1.1864844093104963,NA,NA,1.5,100
1101005,1.8564356435643563,8.264462809917356,0,0,0,18.75,65,0,100,35,0,0,NA,NA,2.2222222222222223,60
1101104,28.958647052009727,47.501425042751286,0,0,0,0,63.91943127962085,0,100,36.08056872037915,0,0.04739336492890995,50,NA,8.666666666666666,100
1101203,29.69826926022362,100,0,54.21875000000001,99.9919955174898,0,54.22309027777777,63.6328125,36.3671875,45.77690972222222,0,0.47890625,934,NA,1.5,100
1101302,30.99195710455764,57.125914212294916,0,43.5378086419753,86.50824070525105,0,50.32793209876543,61.86728395061729,38.13271604938271,49.67206790123457,0,0.3638503086419753,1099,NA,1.972972972972973,100
1101401,43.42308351912194,82.79921517331589,0,71.22106481481481,96.25371500078211,0,73.99305555555556,87.65335648148148,12.346643518518523,26.006944444444454,0,0.5465856481481481,1855,NA,0.5,100
1101435,20.571793643187988,100,0,43.894675925925924,78.78473123863931,0,55.71469907407407,65.50925925925925,34.49074074074075,44.28530092592593,0,0.529079861111111,NA,NA,1.2615384615384615,100
