name,low,q1,median,q3,high,n
IAG0001,-0.004994839646798255,-0.0023714974948987333,0,0.0023329425556823935,0.0049999999999954525,5213
IAG0002,-0.0049959709911391315,-1.0658141036401503e-14,0,1.1672016673003327e-4,0.0049999999999954525,5206
IAG0003,-0.004997160704135695,0,0,0,0.005000000000002558,5157
IAG2001,-0.004999367542268374,-0.0023672115324518787,0,0.0023385191504132763,0.005000000000002558,4870
IAG2002,-0.004996848607078164,-9.324469446241324e-4,0,9.276026717550678e-4,0.005000000000009663,5080
IAG2003,-0.00499818076990266,0,0,0,0.0049999999999954525,5082
IAG2010,-0.004998947566150491,-0.0024640554435020334,0,0.002351366140086242,0.0049999999999954525,4870
IAG2011,-0.00499923582454187,-0.0023040953196442615,0,0.0024789731587802066,0.005000000000009663,4890
IAG2012,-0.004994720168955524,-0.0024675697794940277,0,0.0023197850134767384,0.005000000000002558,4890
IAG2013,-0.004999408773798564,-0.0023031770818020547,0,0.0024999889202170777,0.005000000000002558,4846
IAG2016,-0.0049981903727847055,0,0,0,0.0049999999999954525,5232
IAG2023,-0.004994712459568618,-0.0024563229465083686,0,0.0024323578934228873,0.0050000000000000044,4890
IAG3001,-0.00498207885303259,0,0,3.4936479087832595e-4,0.005000000001018634,3294
IAG3002,-0.0049618320610562705,-0.001372485008806379,0,0.0015067340067247414,0.005000000000109139,1822
IAG3003,-0.0049946409431935734,-0.0017110474516306429,0,0.0019148936170204633,0.005000000000009663,5011
IAG3006,-0.004989156780197845,0,0,0,0.005000000000002558,5184
